id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
474;1623367.195;4841259.1453;133;;pineta;6;0
506;1623967.195;4841059.1453;143;;pineta;6;0
477;1623967.195;4841259.1453;143;;pineta;6;0
478;1624167.195;4841259.1453;143;;pineta;6;0
507;1624167.195;4841059.1453;143;;pineta;6;0
536;1624167.195;4840859.1453;143;;pineta;6;0
590;1623367.195;4840459.1453;144;;pineta;6;0
589;1623167.195;4840459.1453;144;;pineta;6;0
533;1623567.195;4840859.1453;144;;pineta;6;0
535;1623967.195;4840859.1453;144;;pineta;6;0
445;1623367.195;4841459.1453;144;;pineta;6;0
474;1623367.195;4841259.1453;144;;pineta;6;0
476;1623767.195;4841259.1453;144;;pineta;6;0
502;1623167.195;4841059.1453;144;;pineta;6;0
503;1623367.195;4841059.1453;144;;pineta;6;0
505;1623767.195;4841059.1453;144;;pineta;6;0
563;1623767.195;4840659.1453;144;;pineta;6;0
564;1623967.195;4840659.1453;144;;pineta;6;0
593;1623967.195;4840459.1453;144;;pineta;6;0
472;1622967.195;4841259.1453;144;;pineta;6;0
532;1623367.195;4840859.1453;144;;pineta;6;0
534;1623767.195;4840859.1453;144;;pineta;6;0
418;1623767.195;4841659.1453;145;;pineta;6;0
480;1624567.195;4841259.1453;147;;pineta;6;0
509;1624567.195;4841059.1453;147;;pineta;6;0
510;1624767.195;4841059.1453;147;;pineta;6;0
479;1624367.195;4841259.1453;147;;pineta;6;0
508;1624367.195;4841059.1453;147;;pineta;6;0
449;1624167.195;4841459.1453;147;;pineta;6;0
450;1624367.195;4841459.1453;147;;pineta;6;0
538;1624567.195;4840859.1453;147;;pineta;6;0
67;1623167.195;4844059.1453;149;;pineta;6;0
68;1623367.195;4844059.1453;149;;pineta;6;0
251;1625167.195;4842859.1453;151;;pineta;6;0
277;1624567.195;4842659.1453;151;;pineta;6;0
278;1624767.195;4842659.1453;151;;pineta;6;0
279;1624967.195;4842659.1453;151;;pineta;6;0
306;1624567.195;4842459.1453;151;;pineta;6;0
307;1624767.195;4842459.1453;151;;pineta;6;0
335;1624567.195;4842259.1453;151;;pineta;6;0
338;1625167.195;4842259.1453;151;;pineta;6;0
334;1624367.195;4842259.1453;151;;pineta;6;0
336;1624767.195;4842259.1453;152;;pineta;6;0
364;1624567.195;4842059.1453;152;;pineta;6;0
365;1624767.195;4842059.1453;152;;pineta;6;0
366;1624967.195;4842059.1453;152;;pineta;6;0
367;1625167.195;4842059.1453;152;;pineta;6;0
393;1624567.195;4841859.1453;158;;pineta;6;0
422;1624567.195;4841659.1453;158;;pineta;6;0
423;1624767.195;4841659.1453;158;;pineta;6;0
452;1624767.195;4841459.1453;158;;pineta;6;0
453;1624967.195;4841459.1453;158;;pineta;6;0
392;1624367.195;4841859.1453;158;;pineta;6;0
157;1623767.195;4843459.1453;159;;pineta;6;0
219;1624567.195;4843059.1453;159;;pineta;6;0
247;1624367.195;4842859.1453;159;;pineta;6;0
160;1624367.195;4843459.1453;159;;pineta;6;0
189;1624367.195;4843259.1453;159;;pineta;6;0
186;1623767.195;4843259.1453;159;;pineta;6;0
158;1623967.195;4843459.1453;159;;pineta;6;0
159;1624167.195;4843459.1453;159;;pineta;6;0
187;1623967.195;4843259.1453;159;;pineta;6;0
188;1624167.195;4843259.1453;159;;pineta;6;0
216;1623967.195;4843059.1453;159;;pineta;6;0
217;1624167.195;4843059.1453;159;;pineta;6;0
