X;Y;Z;S;A;Q;C
1416691.945061;4856674.536044;-2.25;662.461998;0.137231;303.311126;1
1416692.320781;4856674.206143;-2.25;662.783526;0.138702;300.240832;1
1416692.696501;4856673.876243;-2.25;661.046332;0.139294;298.181365;1
1416693.072222;4856673.546342;-2.25;659.893371;0.147336;281.412746;1
1416693.447942;4856673.216441;-2.25;672.001004;0.148866;283.630719;1
1416693.823662;4856672.886541;-2.25;692.740048;0.159464;272.952219;1
1416694.199382;4856672.55664;-2.25;702.597578;0.159173;277.342829;1
1416694.575102;4856672.22674;-2.25;708.525038;0.15827;281.278077;1
1416694.950822;4856671.896839;-2.25;716.058711;0.155898;288.594376;1
1416695.326542;4856671.566939;-2.25;726.739101;0.157113;290.634634;1
1416695.702262;4856671.237038;-2.25;755.620258;0.161857;293.326667;2
1416696.077982;4856670.907137;-2.25;765.243243;0.168003;286.196006;2
1416696.453703;4856670.577237;-2.25;749.381858;0.159857;294.545182;1
1416696.829423;4856670.247336;-2.25;742.643837;0.160005;291.626212;1
1416697.205143;4856669.917436;-2.25;743.051232;0.162319;287.627227;1
1416697.580863;4856669.587535;-2.25;737.930292;0.161115;287.779516;1
1416697.956583;4856669.257634;-2.25;721.988683;0.151151;300.122456;1
1416698.332303;4856668.927734;-2.25;700.28081;0.139195;316.102252;1
1416698.708023;4856668.597833;-2.25;684.637412;0.124622;345.180305;1
1416699.083743;4856668.267933;-2.25;679.426284;0.118709;359.616659;1
1416699.459463;4856667.938032;-2.25;674.472963;0.113595;373.06527;1
1416699.835184;4856667.608132;-2.25;662.450809;0.106999;389.002167;1
1416700.210904;4856667.278231;-2.25;648.739558;0.099168;411.03605;1
1416700.586624;4856666.94833;-2.25;643.487907;0.099983;404.384261;1
1416700.962344;4856666.61843;-2.25;629.786143;0.097928;404.077592;1
1416701.338064;4856666.288529;-2.25;612.034693;0.099688;385.756899;1
1416701.713784;4856665.958629;-2.25;590.738682;0.094588;392.407523;1
1416702.089504;4856665.628728;-2.25;578.16715;0.090261;402.470667;1
1416702.465224;4856665.298827;-2.25;571.890845;0.08952;401.398142;1
1416702.840944;4856664.968927;-2.25;568.264745;0.092102;387.668203;1
1416703.216665;4856664.639026;-2.25;554.077259;0.094859;367.005253;1
1416703.592385;4856664.309126;-2.25;558.854258;0.101108;347.291667;1
1416703.968105;4856663.979225;-2.25;565.288103;0.107546;330.260284;1
1416704.343825;4856663.649324;-2.25;572.898825;0.116744;308.334287;1
