id;date;east_UTM;north_UTM;forecast
;;m;m; 
V;V;R;R;R+
;;;; 
id_pluv;date;x_coord_UTM;y_coord_UTM;cumulative
;;;; 
4447430087331;090320180800;478855.18;4924786.02;0.011
4447510090071;090320180800;500647.31;4924840.27;0.076
4447780100583;090320180800;584247.83;4925684.8;0.002
4447830084847;090320180800;459101.89;4925324.82;0.019
4448020087987;090320180800;484074.18;4925426.45;0.291
4448230084857;090320180800;459184.21;4925768.63;0.012
4448310092428;090320180800;519390.43;4925757.54;0.026
4448560089785;090320180800;498373;4926006.79;0.039
4448610087360;090320180800;479090.06;4926096;0.026
4448760091821;090320180800;514562.36;4926244.85;0.126
4448800093402;090320180800;527133.55;4926329.43;0.024
4448850089001;090320180800;492139.18;4926333.55;0.327
4449220081881;090320180800;435529.22;4927060.23;0.011
4449530079792;090320180800;418924.04;4927590.76;0.008
4449970101794;090320180800;593843.68;4928249.21;0.001
4450560096325;090320180800;550360.59;4928422.67;0.1034
4450670099886;090320180800;578665.85;4928825.59;0.1039
4451110081744;090320180800;434461.15;4929170.53;0.011
4451400098421;090320180800;567012.28;4929506.04;0.001
4451580091556;090320180800;512449.25;4929372.91;0.017
4451680091596;090320180800;512766.94;4929484.6;0.013
4451700079015;090320180800;412778.89;4930081.26;0.007
4451720091034;090320180800;508300.35;4929521.85;0.04
4451770086731;090320180800;474102.46;4929624.15;0.099
4451780086731;090320180800;474102.5;4929635.26;0.044
4452010089859;090320180800;498962.09;4929838.87;0.043
4452040089474;090320180800;495902.47;4929873.45;0.078
4452170085383;090320180800;463391.82;4930120.16;0.016
4452220083861;090320180800;451297.06;4930255.31;0.018
4452810095483;090320180800;543650.69;4930873.6;0.164
4453010088582;090320180800;488815.56;4930959.35;0.306
4453020088582;090320180800;488815.58;4930970.45;0.009
4453060092083;090320180800;516633.49;4931026.21;0.019
4453810080150;090320180800;421827.63;4932310.03;0.007
4454030089382;090320180800;495173.02;4932084.43;0.063
4454250077806;090320180800;403212.58;4933050.07;0.1004
4454260086939;090320180800;475765.89;4932383.62;0.055
4454360100319;090320180800;582055.97;4932966.97;0.033
4454420096114;090320180800;548651.25;4932697.56;0.003
4454640081650;090320180800;433754.08;4933099.22;0.012
4454720094516;090320180800;535955.15;4932948.2;0.01
4454860089542;090320180800;496444.63;4933005.55;0.118
4454860094472;090320180800;535604.79;4933101.79;0.022
4455060089569;090320180800;496659.22;4933227.6;0.01
4455360084925;090320180800;459774.16;4933685.18;0.01
4455420092842;090320180800;522655.15;4933665.86;0.106
4455750074944;090320180800;380507.27;4935095.6;0.006
4455810082594;090320180800;441264.57;4934326.52;0.007
4456280087678;090320180800;481642.92;4934608.08;0.001
4456530096794;090320180800;554033.56;4935084.03;0.001
4456640089475;090320180800;495913.71;4934983.09;0.036
4456720086597;090320180800;473060.41;4935126.93;0.035
4456830090778;090320180800;506260.39;4935195.75;0.033
4456860098867;090320180800;570491.23;4935608.48;0.001
4456870083353;090320180800;447302.1;4935452.09;0.018
4457030090749;090320180800;506029.91;4935417.69;0.01
4457130089489;090320180800;496025.22;4935527.31;0.006
4457230086578;090320180800;472911.91;4935694.07;0.015
4457360080181;090320180800;422121.33;4936250.4;0.007
4457690092772;090320180800;522090.61;4936185.46;0.012
4457720092831;090320180800;522558.92;4936220.39;0.011
4458170095847;090320180800;546500.41;4936847.53;0.015
4458690094825;090320180800;538383.61;4937372.1;0.233
4458890088778;090320180800;490382.7;4937488.31;0.316
4459360097675;090320180800;561000;4938289.59;0.0993
4459390101144;090320180800;588533.45;4938640.42;0.003
4459920102592;090320180800;600017.28;4939396.31;0.1038
4460390087556;090320180800;480687.76;4939176.3;0.002
4460470092363;090320180800;518834.46;4939263.28;0.01
4460470092364;090320180800;518842.4;4939263.3;0.05
4461060083014;090320180800;444650.11;4940128.84;0.01
4461330091875;090320180800;514959.69;4940208.51;0.009
4462080096350;090320180800;550459.8;4941220.61;0.0970
4463000097314;090320180800;558098.45;4942306.62;0.1039
4463030098681;090320180800;568941.37;4942446.28;0.1044
4463250074783;090320180800;379383.98;4943450.38;0.008
4463270094054;090320180800;532238.11;4942426.31;0.007
4463610095794;090320180800;546036.75;4942887.32;0.002
4463890080503;090320180800;424762.41;4943473.72;0.01
4464020093300;090320180800;526254.17;4943232.45;0.008
4464310095000;090320180800;539734.5;4943623.21;0.1036
4464470087914;090320180800;483540.33;4943700.52;0.027
4464690086361;090320180800;471225.89;4943988.14;0.01
4464920098208;090320180800;565168.34;4944506.87;0.1010
4466390077203;090320180800;398633.82;4946608.59;0.1003
4467360090917;090320180800;507350.97;4946893.71;0.007
4467420082333;090320180800;439312.94;4947242.15;0.007
4467830084633;090320180800;457546.06;4947551.79;0.01
4467860090231;090320180800;501913.43;4947445.29;0.305
4468050092194;090320180800;517470.69;4947679.49;0.001
4468190088842;090320180800;490905.39;4947818.12;0.008
4468690080925;090320180800;428168.64;4948767.54;0.001
4468940101678;090320180800;592619.91;4949307.98;0.039
4469220095917;090320180800;546967.06;4949126.01;0.1055
4469470087678;090320180800;481684.64;4949259.67;0.014
4469470096847;090320180800;554333.75;4949461.45;0.001
4469780101244;090320180800;589167.97;4950192.69;0.047
4469920078508;090320180800;409034.6;4950375.63;0.005
4470560080270;090320180800;423002.96;4950904.69;0.007
4471210095697;090320180800;545208.39;4951324.13;0.1042
4471500097983;090320180800;563312.57;4951798.36;0.1031
4471670081583;090320180800;433417.11;4952021.82;0.0976
4472610091497;090320180800;511937.46;4952732.34;0.0972
4472720099344;090320180800;574076.93;4953268.27;0.005
4473030075731;090320180800;387093.67;4954178.28;0.1051
4473310100233;090320180800;581108.61;4954008.31;0.004
4474440081750;090320180800;434771;4955085.28;0.001
